label,cutoff_n,skr
imperfect-src,11,0.017102336811562792
imperfect-src,12,0.017320765122312152
imperfect-src,13,0.017533008936670803
imperfect-src,14,0.017731228542927562
imperfect-src,15,0.01789073420237997
imperfect-src,16,0.01800641746388754
imperfect-src,17,0.018129396163487493
imperfect-src,18,0.01820967858585085
imperfect-src,19,0.018276378300826117
imperfect-src,20,0.01836583768160186
imperfect-src,21,0.01841286695985974
imperfect-src,22,0.018458575014018503
imperfect-src,23,0.01849129021501632
imperfect-src,24,0.018507484606037555
imperfect-src,25,0.018514677884435636
imperfect-src,26,0.01854198545056467
imperfect-src,27,0.01854895236395557
imperfect-src,28,0.018569072082602292
imperfect-src,29,0.01858648183352714
imperfect-src,30,0.01859826582826662
imperfect-src,31,0.0186160804461257
imperfect-src,32,0.01862101031417506
imperfect-src,33,0.01864385427270605
imperfect-src,34,0.01866140917487165
imperfect-src,35,0.018671381226053767
imperfect-src,36,0.01868010521631562
imperfect-src,37,0.018667308503369534
imperfect-src,38,0.018653080445303956
imperfect-src,39,0.018653270044331174
imperfect-src,40,0.018666165921691343
imperfect-src,41,0.018665043758493236
imperfect-src,42,0.01866888313128244
imperfect-src,43,0.018663930524658034
imperfect-src,44,0.018654289010347318
imperfect-src,45,0.01865429562428792
imperfect-src,46,0.01865116598222142
imperfect-src,47,0.018648165213171104
imperfect-src,48,0.018646326005594432
imperfect-src,49,0.018647139490301883
imperfect-src,50,0.018655745277874263
imperfect-src,51,0.018651430429800393
imperfect-src,52,0.018646542261535805
imperfect-src,53,0.01864218606887287
imperfect-src,54,0.01864151504234665
imperfect-src,55,0.018642109467293062
imperfect-src,56,0.018645544751769896
imperfect-src,57,0.018647376485678935
imperfect-src,58,0.018649684050213177
imperfect-src,59,0.01865637961046486
imperfect-src,60,0.01865706802907965
imperfect-src,61,0.018656806007089938
imperfect-src,62,0.018657953362937168
imperfect-src,63,0.018656145071369565
imperfect-src,64,0.018657059335405606
imperfect-src,65,0.018651100937866545
imperfect-src,66,0.018655309522718516
imperfect-src,67,0.01865277973185552
imperfect-src,68,0.01865131487034583
imperfect-src,69,0.018651102414514897
imperfect-src,70,0.018649122680206947
imperfect-src,71,0.018651558055104
imperfect-src,72,0.018650794445925878
imperfect-src,73,0.018651100149710925
imperfect-src,74,0.018650338434695678
imperfect-src,75,0.018649623214305005
imperfect-src,76,0.018650180353277854
imperfect-src,77,0.018650409254055735
imperfect-src,78,0.01865045811632638
imperfect-src,79,0.018650352486595877
imperfect-src,80,0.018650459423205926
imperfect-src,81,0.01864813014118427
imperfect-src,82,0.01864797369436995
imperfect-src,83,0.018647894053241774
imperfect-src,84,0.018648728262475493
imperfect-src,85,0.018647551735246244
imperfect-src,86,0.01864741103743193
imperfect-src,87,0.018648444841420028
imperfect-src,88,0.018648572547290795
imperfect-src,89,0.018648529042761687
imperfect-src,90,0.01864843508422655
imperfect-src,91,0.018648443907010304
imperfect-src,92,0.018648221723297942
imperfect-src,93,0.018648226096485834
imperfect-src,94,0.018648158761421455
imperfect-src,95,0.018648914944563822
imperfect-src,96,0.018648879087133287
imperfect-src,97,0.01864888346056851
